id;name
1;Sekretariat
2;Bidang Pendidikan Dasar
3;Bidang Pendidikan Menengah
4;Bidang Pendidikan Non Formal
5;Bidang Sarpras
6;UPT PAUD, TK, DIKDAS dan DIKMEN I Cibinong
7;UPT PAUD, TK, DIKDAS dan DIKMEN II Gunung Putri
8;UPT PAUD, TK, DIKDAS dan DIKMEN III Citeureup
9;UPT PAUD, TK, DIKDAS dan DIKMEN IV Sukaraja
10;UPT PAUD, TK, DIKDAS dan DIKMEN V Babakan Madang
11;UPT PAUD, TK, DIKDAS dan DIKMEN VI Jonggol
12;UPT PAUD, TK, DIKDAS dan DIKMEN VII Cileungsi
13;UPT PAUD, TK, DIKDAS dan DIKMEN VIII Cariu
14;UPT PAUD, TK, DIKDAS dan DIKMEN IX Sukamakmur
15;UPT PAUD, TK, DIKDAS dan DIKMEN X Parung
16;UPT PAUD, TK, DIKDAS dan DIKMEN XI Gunung Sindur
17;UPT PAUD, TK, DIKDAS dan DIKMEN XII Kemang
18;UPT PAUD, TK, DIKDAS dan DIKMEN XIII Bojonggede
19;UPT PAUD, TK, DIKDAS dan DIKMEN XIV Leuwiliang
20;UPT PAUD, TK, DIKDAS dan DIKMEN XV Ciampea
21;UPT PAUD, TK, DIKDAS dan DIKMEN XVI Cibungbulang
22;UPT PAUD, TK, DIKDAS dan DIKMEN XVII Pamijahan
23;UPT PAUD, TK, DIKDAS dan DIKMEN XVIII Rumpin
24;UPT PAUD, TK, DIKDAS dan DIKMEN XIX Jasinga
25;UPT PAUD, TK, DIKDAS dan DIKMEN XX Parung Panjang
26;UPT PAUD, TK, DIKDAS dan DIKMEN XXI Nanggung
27;UPT PAUD, TK, DIKDAS dan DIKMEN XXII Cigudeg
28;UPT PAUD, TK, DIKDAS dan DIKMEN XXIII Tenjo
29;UPT PAUD, TK, DIKDAS dan DIKMEN XXIV Ciawi
30;UPT PAUD, TK, DIKDAS dan DIKMEN XXV Cisarua
31;UPT PAUD, TK, DIKDAS dan DIKMEN XXVI Megamendung
32;UPT PAUD, TK, DIKDAS dan DIKMEN XXVII Caringin
33;UPT PAUD, TK, DIKDAS dan DIKMEN XXVIII Cijeruk
34;UPT PAUD, TK, DIKDAS dan DIKMEN XXIX Ciomas
35;UPT PAUD, TK, DIKDAS dan DIKMEN XXX Dramaga
36;UPT PAUD, TK, DIKDAS dan DIKMEN XXXI Tamansari
37;UPT PAUD, TK, DIKDAS dan DIKMEN XXXII Klapanunggal
38;UPT PAUD, TK, DIKDAS dan DIKMEN XXXIII Ciseeng
39;UPT PAUD, TK, DIKDAS dan DIKMEN XXXIV Rancabungur
40;UPT PAUD, TK, DIKDAS dan DIKMEN XXXV Sukajaya
41;UPT PAUD, TK, DIKDAS dan DIKMEN XXXVI Tanjungsari
42;UPT PAUD, TK, DIKDAS dan DIKMEN XXXVII Tajurhalang
43;UPT PAUD, TK, DIKDAS dan DIKMEN XXXVIII Cigombong
44;UPT PAUD, TK, DIKDAS dan DIKMEN XXXIX Leuwisadeng
45;UPT PAUD, TK, DIKDAS dan DIKMEN XL Tenjolaya
46;UPT Sanggar Kegiatan Belajar 
47;Sub Dinas Pendidikan Menengah
